Postcode,Latitude,Longitude,LSOA Code,LSOA Name
EH3 6TH,55.956595,-3.202709,S01008850,New Town West - 02
EH3 6TJ,55.956698,-3.203192,S01008850,New Town West - 02
EH3 6TL,55.956284,-3.204156,S01008851,New Town West - 03
EH3 6TN,55.956299,-3.205422,S01008851,New Town West - 03
EH3 6TP,55.957284,-3.207567,S01008851,New Town West - 03
EH3 6TQ,55.957337,-3.208594,S01008860,Stockbridge - 04
EH3 6TR,55.957064,-3.209002,S01008860,Stockbridge - 04
EH3 6TS,55.955644,-3.210847,S01008860,Stockbridge - 04
EH3 6TT,55.956772,-3.209441,S01008860,Stockbridge - 04
EH3 6TU,55.956489,-3.209865,S01008860,Stockbridge - 04
EH3 6TW,55.957165,-3.206875,S01008851,New Town West - 03
EH3 7AA,55.947656,-3.214473,S01008871,Deans Village - 04
EH3 7AF,55.948296,-3.213420,S01008868,Deans Village - 01
